Jahr 2030;Trump wird erneut Präsident und ruft einen Krieg gegen Russland aus. Diese haben unterdessen Furzwanzen entwickelt, welche in dem Moment einen unglaublichen Gestank bei Trump hinterlassen – Trump wird vergast und stirbt.
Jahr 2040;King Charles wurde gestürzt. Wegen weiterer Staatsbetrügereien innerhalb der britischen Königsfamilie ist die gesamte Familie nun obdachlos und lebt auf der Strasse.
Jahr 2050;Die Apple-Aktien fallen, weil die KI ein neues System namens «Saqira» entwickelt hat, das nicht auf Kommerz ausgerichtet ist.
Jahr 2100;Ein Biologieexperiment führt zu Eisfall. Die Behörden empfehlen, bei der steigenden Kälte mehr Kleidung zu tragen.
Jahr 2200;Im Eisgletscher wurde Nessie entdeckt – das Gerücht war also wahr! 
Jahr 2300;Geld wurde in die Forschung investiert. Eine neue Maschine zerlegt die zu recycelnde Gegenstände in ihre Elementarteile, und Nutzer können auswählen, welcher neue Gegenstand daraus hergestellt werden soll.
Jahr 2400;Afrika hat sich zu einem Erstweltstaat entwickelt, nachdem es eine revolutionäre Technologie zur sauberen Energiegewinnung entdeckt hat. Europäer sind neidisch.
Jahr 2500;China kommt zur Weltmacht. Die EU sowie die amerikanische Regierung können nichts dagegen unternehmen. Weltweit beginnen die Menschen Chinesisch zu lernen und Kommunikationsprobleme lösen sich auf. 
Jahr 2600;Ein zahmes Tier wurde im Amazonas entdeckt. Es gewinnt an Beliebtheit und stosst bald die traditionellen Haustiere wie Hunde und Katzen vom Beliebtheitsthron.
Jahr 2700;Eingeschlagene Meteoriten in der Wüste verwandeln sich durch die Hitze in einen neuartigen Diamanten, der als «Regodi» bekannt ist. Ein Hype entsteht, der dem von Gold gleicht.
Jahr 2800;Die KI-Forschung macht erhebliche Fortschritte. Die Technologie kann bereits Krankheiten im Voraus erkennen. Nun wird dieses Wissen weiterentwickelt, um Ärzten in ihrer Ausbildung zu helfen.
Jahr 2900;Messwerte zeigen, dass die Menschheit in den letzten 100 Jahren um 0,5% vernünftiger geworden ist.
Jahr 3000;Ein Heilmittel gegen Krebs wurde entdeckt im früheren sogenannten Zürich, wo unterdessen Einhörner eingewandert sind – Einhornkot ist die Lösung.
Jahr 4000;Mister Chang hat zu lange mit dem Teleskop ins Weltall geschaut und wurde von einem Ausserirdischen abgeholt.
Jahr 5000;Michael Jackson wird wieder geboren und gibt eine sensationelle Show.
Jahr 6000;Die KI-Technologie hat sich verselbstständigt und versucht nun, eigenständig eine neue Menschenspezies zu schaffen.
Jahr 8000;Aliens stehen kurz vor einer Invasion. Bereits 50% der Bevölkerung konnten erfolgreich auf den Mond evakuiert werden. In der derzeit im Bau befindlichen Arche wird es möglich sein, einen anderen bewohnbaren Planeten zu erreichen.
